l1cache;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_sysuser;CPU_used_per
1;384;2.39;2.38;0.00;160.41;161.34;99.42
2;704;2.19;4.37;0.00;321.33;161.10;99.73
3;960;2.10;6.30;0.00;456.45;152.38;99.85
4;1280;2.30;9.19;0.00;555.63;139.28;99.73
5;1280;2.33;11.62;0.00;548.81;110.15;99.64
6;1536;2.46;14.67;0.00;625.34;104.70;99.54
7;1344;2.08;14.47;0.00;645.63;92.88;99.30
8;1536;2.45;19.17;0.03;628.14;80.00;98.15
9;1664;2.54;20.19;0.04;656.13;82.25;88.63
10;1600;2.30;18.27;0.04;696.31;87.38;79.68
11;1664;2.57;20.93;0.04;646.44;79.35;74.06
12;1792;2.61;21.35;0.01;687.37;83.90;68.28
13;1728;2.63;21.64;0.02;656.84;79.78;63.33
14;1792;2.63;21.87;0.05;681.53;81.75;59.55
15;1984;3.01;24.50;0.03;659.03;80.88;54.32
16;1984;2.96;24.91;0.04;669.60;79.52;52.63
17;1856;2.69;23.93;0.02;688.95;77.49;52.30
18;1792;2.51;22.15;0.03;714.56;80.79;49.14
19;1536;2.23;18.64;0.03;690.12;82.27;44.15
20;1920;2.66;23.95;0.02;721.06;80.10;45.01
21;1536;2.21;18.15;0.05;695.07;84.40;39.22
22;1600;2.28;19.05;0.02;701.54;83.90;38.01
23;1792;2.51;21.08;0.05;714.81;84.81;36.65
24;1920;2.67;23.62;0.00;719.07;81.29;36.86
25;1792;2.79;23.24;0.02;642.67;77.04;33.37
26;1728;2.74;22.45;0.03;631.04;76.87;31.57
27;1792;2.67;22.41;0.06;671.78;79.75;31.20
28;1984;2.84;23.90;0.04;698.76;82.87;30.11
29;1920;2.81;23.45;0.01;684.41;81.84;28.84
30;1920;2.86;23.86;0.00;671.68;80.47;27.82
31;2048;2.86;24.45;0.01;715.12;83.73;27.55
32;2048;3.01;25.18;0.01;681.50;81.30;26.19
33;2176;3.17;27.09;0.01;685.79;80.30;25.88
34;2176;3.33;28.23;0.02;653.78;77.03;24.96
35;2304;3.45;29.40;0.08;667.46;78.15;24.40
36;2368;3.66;30.06;0.07;647.27;78.59;22.88
37;2368;3.61;30.24;0.09;656.81;78.07;22.74
38;2432;3.62;30.28;0.03;672.32;80.24;22.05
39;2496;3.77;31.35;0.03;661.75;79.54;21.33
40;2560;3.81;31.67;0.03;671.18;80.76;20.78
41;2624;3.81;31.94;0.03;689.30;82.08;20.48
42;2688;3.91;33.34;0.01;687.18;80.60;20.30
43;2752;3.96;33.77;0.07;695.60;81.32;19.89
44;2816;4.25;35.32;0.01;662.67;79.71;18.90
45;2880;4.36;36.28;0.07;660.11;79.23;18.51
46;2944;4.33;36.07;0.01;680.52;81.60;18.13
47;3008;4.57;37.77;0.01;658.27;79.62;17.59
48;3072;4.60;38.41;0.02;667.53;79.94;17.40
49;3136;4.74;39.46;0.06;661.96;79.35;17.02
50;3200;4.68;39.51;0.04;683.73;80.91;16.90
51;3264;5.02;42.18;0.05;649.83;77.29;16.49
52;3328;5.06;42.24;0.03;657.67;78.73;16.06
53;3392;5.05;42.49;0.04;671.25;79.76;15.88
54;3456;5.32;44.26;0.04;649.99;78.01;15.43
55;3520;5.28;45.09;0.08;666.86;77.93;15.56
56;3584;5.47;45.28;0.04;655.81;79.08;14.81
57;3648;5.46;46.39;0.03;668.70;78.59;14.93
58;3712;5.68;46.87;0.00;653.37;79.20;14.22
59;3776;5.66;47.66;0.08;666.67;79.10;14.29
60;3840;5.69;48.34;0.06;674.95;79.34;14.18
61;3904;5.64;47.97;0.02;692.03;81.35;13.95
62;3968;5.87;49.13;0.03;676.09;80.72;13.51
63;4032;6.04;49.96;0.03;667.68;80.66;13.14
64;4096;6.09;51.37;0.08;673.01;79.61;13.21
65;4160;6.16;51.32;0.01;675.71;81.04;12.83
66;4224;6.33;52.50;0.02;667.28;80.43;12.57
67;4288;6.41;52.93;0.04;668.77;80.95;12.33
68;4352;6.46;53.76;0.03;673.49;80.91;12.24
69;4416;6.77;55.94;0.05;651.96;78.87;11.98
70;4480;6.63;55.90;0.05;676.16;80.07;12.06
71;4544;6.76;57.16;0.06;672.25;79.41;11.92
72;4608;7.07;58.77;0.19;651.97;78.15;11.59
73;4672;7.02;59.02;0.03;665.65;79.12;11.52
74;4800;7.01;59.41;0.01;685.11;80.78;11.46
75;4800;7.13;59.60;0.03;672.98;80.50;11.15
76;4864;7.36;61.08;0.04;660.70;79.58;10.92
77;4928;7.38;61.47;0.11;667.30;80.03;10.83
78;4992;7.39;59.42;0.18;675.70;83.76;10.34
79;5056;7.33;62.28;0.03;690.06;81.14;10.76
80;5120;8.32;68.77;0.59;615.47;73.82;10.42
81;5184;7.76;64.55;0.23;667.90;80.02;10.30
82;5312;8.20;66.97;0.26;647.74;79.01;10.00
83;5312;7.94;65.94;0.10;669.35;80.44;10.03
84;5376;7.89;66.44;0.02;681.69;80.89;10.03
85;5440;7.96;67.16;0.02;683.58;80.98;9.93
86;5504;8.27;68.07;0.01;665.68;80.85;9.57
87;5568;8.40;70.76;0.10;662.73;78.58;9.69
88;5632;8.40;69.31;0.01;670.67;81.25;9.38
89;5696;8.48;70.73;0.03;671.87;80.50;9.38
90;5760;8.72;73.24;0.06;660.69;78.58;9.34
91;5824;8.73;72.94;0.03;666.87;79.81;9.18
92;5888;8.58;72.17;0.03;686.07;81.55;9.14
93;5952;8.93;75.06;0.00;666.37;79.30;9.04
94;6016;9.08;74.99;0.06;662.36;80.16;8.79
95;6080;8.97;74.06;0.01;677.72;82.08;8.69
96;6144;9.23;75.52;0.05;665.47;81.30;8.53
97;6208;9.38;76.93;0.09;661.79;80.60;8.46
98;6272;9.31;78.36;0.05;673.98;79.99;8.60
99;6336;9.80;82.61;0.05;646.39;76.65;8.52
100;6400;9.44;79.26;0.07;677.61;80.68;8.40
