
Time;CPU;%usr;%nice;%sys;%iowait;%irq;%soft;%steal;%guest;%gnice;%idle
00:57:35;all;96.80;0.00;1.73;0.00;0.00;0.00;0.00;0.00;0.00;1.47
00:57:35;0;95.70;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;2.15
00:57:35;1;97.89;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;1.05
00:57:35;2;97.89;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;1.05
00:57:35;3;97.87;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;1.06
00:57:35;4;96.74;0.00;2.17;0.00;0.00;0.00;0.00;0.00;0.00;1.09
00:57:35;5;93.75;0.00;3.12;0.00;0.00;0.00;0.00;0.00;0.00;3.12
00:57:35;6;97.83;0.00;1.09;0.00;0.00;0.00;0.00;0.00;0.00;1.09
00:57:35;7;96.77;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;1.08
00:57:36;all;99.20;0.00;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:36;0;97.89;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:36;1;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:36;2;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:36;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:36;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:36;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:36;6;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:36;7;97.92;0.00;2.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;all;98.34;0.00;1.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;1;97.78;0.00;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;2;97.78;0.00;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;3;97.78;0.00;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;4;98.89;0.00;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;5;97.75;0.00;2.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;6;96.67;0.00;3.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:37;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;all;99.46;0.00;0.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;0;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;2;98.91;0.00;1.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;5;98.89;0.00;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;6;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:38;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;all;99.21;0.00;0.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;1;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;2;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;3;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;4;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;5;98.98;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;6;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:39;7;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;all;98.81;0.00;1.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;1;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;2;97.85;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;3;98.90;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;5;97.89;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;6;97.92;0.00;2.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:40;7;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;all;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;0;97.94;0.00;2.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;1;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;2;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;3;97.98;0.00;2.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;5;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;6;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:41;7;98.98;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;all;98.50;0.00;1.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;0;98.84;0.00;1.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;1;96.81;0.00;3.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;2;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;3;97.83;0.00;2.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;4;98.90;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;6;96.88;0.00;3.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:42;7;98.90;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;all;98.43;0.00;1.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;0;97.70;0.00;2.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;2;97.62;0.00;2.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;3;97.73;0.00;2.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;4;98.88;0.00;1.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;5;97.78;0.00;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;6;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:43;7;97.73;0.00;2.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;all;98.33;0.00;1.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;0;98.89;0.00;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;1;98.90;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;2;98.90;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;4;98.88;0.00;1.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;5;97.80;0.00;2.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;6;97.78;0.00;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:44;7;95.45;0.00;4.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;all;99.15;0.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;0;96.63;0.00;3.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;1;98.86;0.00;1.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;2;98.88;0.00;1.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;3;98.88;0.00;1.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;6;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:45;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:46;all;98.49;0.00;1.37;0.00;0.00;0.14;0.00;0.00;0.00;0.00
00:57:46;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:46;1;97.80;0.00;2.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:46;2;98.89;0.00;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:46;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:46;4;97.85;0.00;1.08;0.00;0.00;1.08;0.00;0.00;0.00;0.00
00:57:46;5;97.78;0.00;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:46;6;98.91;0.00;1.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:46;7;96.67;0.00;3.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;all;98.91;0.00;1.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;0;98.89;0.00;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;1;97.83;0.00;2.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;2;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;3;98.91;0.00;1.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;4;98.92;0.00;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;6;97.85;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:47;7;98.91;0.00;1.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:48;all;98.40;0.00;1.47;0.00;0.00;0.13;0.00;0.00;0.00;0.00
00:57:48;0;96.74;0.00;3.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:48;1;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:48;2;98.92;0.00;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:48;3;96.84;0.00;2.11;0.00;0.00;1.05;0.00;0.00;0.00;0.00
00:57:48;4;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:48;5;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:48;6;98.91;0.00;1.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:48;7;98.92;0.00;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;all;98.70;0.00;1.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;0;98.99;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;1;98.98;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;2;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;4;97.89;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;5;97.92;0.00;2.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;6;97.92;0.00;2.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:49;7;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;all;99.20;0.00;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;2;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;3;98.90;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;4;97.85;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;6;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:50;7;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;all;99.35;0.00;0.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;2;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;3;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;4;97.89;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;5;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;6;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:51;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;all;98.93;0.00;1.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;2;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;3;97.87;0.00;2.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;4;98.92;0.00;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;5;97.85;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;6;96.81;0.00;3.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:52;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;all;99.22;0.00;0.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;0;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;2;98.97;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;4;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;6;97.89;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:53;7;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;all;99.07;0.00;0.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;1;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;2;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;3;97.85;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;4;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;6;96.81;0.00;3.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:54;7;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;all;98.69;0.00;1.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;1;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;2;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;4;98.92;0.00;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;5;96.94;0.00;3.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;6;96.88;0.00;3.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:55;7;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:56;all;99.21;0.00;0.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00:57:56;0;97.87;0.00;2.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00
