Time;CPU;%usr;%nice;%sys;%iowait;%irq;%soft;%steal;%guest;%gnice;%idle;l1cache
21:11:21;all;13.39;0.00;0.63;0.00;0.00;0.00;0.00;0.00;0.00;85.98;1
21:11:21;0;99.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1
21:11:21;1;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:21;2;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;98.98;1
21:11:21;3;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:21;4;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:21;5;2.94;0.00;1.96;0.00;0.00;0.00;0.00;0.00;0.00;95.10;1
21:11:21;6;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99;1
21:11:21;7;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:22;all;12.80;0.00;0.75;0.00;0.00;0.00;0.00;0.00;0.00;86.45;1
21:11:22;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1
21:11:22;1;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99;1
21:11:22;2;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:22;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:22;4;0.00;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;98.02;1
21:11:22;5;1.01;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;97.98;1
21:11:22;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:22;7;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99;1
21:11:23;all;13.38;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;86.38;1
21:11:23;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1
21:11:23;1;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02;1
21:11:23;2;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:23;3;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:23;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:23;5;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:23;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:23;7;1.98;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;97.03;1
21:11:24;all;13.27;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;86.48;1
21:11:24;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1
21:11:24;1;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:24;2;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99;1
21:11:24;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:24;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:24;5;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;1
21:11:24;6;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.01;1
21:11:24;7;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:25;all;13.02;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;86.48;1
21:11:25;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1
21:11:25;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:25;2;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:25;3;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:25;4;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:25;5;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:25;6;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:25;7;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:26;all;13.05;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;86.70;1
21:11:26;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1
21:11:26;1;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;99.00;1
21:11:26;2;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:26;3;0.99;0.00;0.00;0.00;0.00;0.99;0.00;0.00;0.00;98.02;1
21:11:26;4;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99;1
21:11:26;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:26;6;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99;1
21:11:26;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:27;all;13.36;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;86.39;1
21:11:27;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1
21:11:27;1;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:27;2;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00;1
21:11:27;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:27;4;0.98;0.00;1.96;0.00;0.00;0.00;0.00;0.00;0.00;97.06;1
21:11:27;5;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;1
21:11:27;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;1
21:11:27;7;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99;1
