Time;CPU;%usr;%nice;%sys;%iowait;%irq;%soft;%steal;%guest;%gnice;%idle
20:19:18;all;0.99;0.00;0.75;0.00;0.00;0.00;0.00;0.00;0.00;98.26
20:19:18;0;0.99;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;97.03
20:19:18;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:18;2;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
20:19:18;3;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
20:19:18;4;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
20:19:18;5;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
20:19:18;6;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:18;7;0.98;0.00;0.98;0.00;0.00;0.00;0.00;0.00;0.00;98.04
20:19:19;all;1.01;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;98.74
20:19:19;0;3.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;96.91
20:19:19;1;1.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.02
20:19:19;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:19;3;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
20:19:19;4;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
20:19:19;5;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:19;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:19;7;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:20;all;2.26;0.00;0.75;0.00;0.00;0.00;0.00;0.00;0.00;96.99
20:19:20;0;6.93;0.00;2.97;0.00;0.00;0.00;0.00;0.00;0.00;90.10
20:19:20;1;5.94;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;93.07
20:19:20;2;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.98
20:19:20;3;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:20;4;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:20;5;1.01;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;97.98
20:19:20;6;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:20;7;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
20:19:21;all;1.64;0.00;0.88;0.00;0.00;0.00;0.00;0.00;0.00;97.48
20:19:21;0;2.02;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;96.97
20:19:21;1;3.96;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;94.06
20:19:21;2;3.09;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;95.88
20:19:21;3;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
20:19:21;4;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
20:19:21;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:21;6;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
20:19:21;7;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
20:19:22;all;1.38;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;97.62
20:19:22;0;2.97;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;95.05
20:19:22;1;4.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;95.92
20:19:22;2;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99
20:19:22;3;1.01;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;97.98
20:19:22;4;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:22;5;0.99;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;97.03
20:19:22;6;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
20:19:22;7;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
20:19:23;all;2.24;0.00;0.75;0.00;0.00;0.00;0.00;0.00;0.00;97.01
20:19:23;0;7.77;0.00;3.88;0.00;0.00;0.00;0.00;0.00;0.00;88.35
20:19:23;1;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;94.00
20:19:23;2;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
20:19:23;3;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
20:19:23;4;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:23;5;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:23;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:23;7;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:24;all;0.74;0.00;1.36;0.00;0.00;0.00;0.00;0.00;0.00;97.90
20:19:24;0;1.96;0.00;1.96;0.00;0.00;0.00;0.00;0.00;0.00;96.08
20:19:24;1;0.98;0.00;0.98;0.00;0.00;0.00;0.00;0.00;0.00;98.04
20:19:24;2;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
20:19:24;3;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:24;4;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
20:19:24;5;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:24;6;0.00;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;98.02
20:19:24;7;0.98;0.00;1.96;0.00;0.00;0.00;0.00;0.00;0.00;97.06
20:19:25;all;8.86;0.25;1.25;0.00;0.00;0.12;0.00;0.00;0.00;89.51
20:19:25;0;62.38;0.00;0.99;0.00;0.00;0.99;0.00;0.00;0.00;35.64
20:19:25;1;2.02;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;96.97
20:19:25;2;2.02;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;96.97
20:19:25;3;0.97;1.94;2.91;0.00;0.00;0.00;0.00;0.00;0.00;94.17
20:19:25;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:25;5;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00
20:19:25;6;0.99;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;97.03
20:19:25;7;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
20:19:26;all;12.97;0.00;0.37;0.00;0.00;0.12;0.00;0.00;0.00;86.53
20:19:26;0;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
20:19:26;1;0.99;0.00;0.99;0.00;0.00;0.99;0.00;0.00;0.00;97.03
20:19:26;2;0.98;0.00;0.98;0.00;0.00;0.00;0.00;0.00;0.00;98.04
20:19:26;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:26;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:26;5;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
20:19:26;6;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
20:19:26;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:27;all;19.97;0.00;0.88;0.00;0.00;0.00;0.00;0.00;0.00;79.15
20:19:27;0;41.58;0.00;2.97;0.00;0.00;0.00;0.00;0.00;0.00;55.45
20:19:27;1;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00
20:19:27;2;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
20:19:27;3;55.45;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;42.57
20:19:27;4;56.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;43.43
20:19:27;5;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
20:19:27;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
20:19:27;7;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.98
20:19:28;all;25.87;0.00;0.75;0.00;0.00;0.12;0.00;0.00;0.00;73.25
