Time;UID;PID;%usr;%system;%guest;%wait;%CPU;CPU;Command
15:28:35;0;6723;100,00;0,00;0,00;0,00;100,00;6;stress-ng
15:28:36;0;6723;100,00;0,00;0,00;0,00;100,00;6;stress-ng
15:28:37;0;6723;100,00;0,00;0,00;0,00;100,00;6;stress-ng
15:28:38;0;6723;99,00;0,00;0,00;0,00;99,00;4;stress-ng
15:28:39;0;6723;99,00;0,00;0,00;1,00;99,00;4;stress-ng
15:28:40;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:41;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:42;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:43;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:44;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:45;0;6723;99,00;0,00;0,00;1,00;99,00;4;stress-ng
15:28:46;0;6723;99,00;0,00;0,00;1,00;99,00;4;stress-ng
15:28:47;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:48;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:49;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:50;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:51;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:52;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:53;0;6723;99,00;0,00;0,00;1,00;99,00;4;stress-ng
15:28:54;0;6723;101,00;0,00;0,00;0,00;101,00;4;stress-ng
15:28:55;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:56;0;6723;99,00;0,00;0,00;0,00;99,00;4;stress-ng
15:28:57;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:58;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:28:59;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:00;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:01;0;6723;100,00;0,00;0,00;0,00;100,00;4;stress-ng
15:29:02;0;6723;100,00;0,00;0,00;1,00;100,00;4;stress-ng
