Time;UID;PID;%usr;%system;%guest;%wait;%CPU;CPU;Command
14:39:31;1000;16167;96,00;1,00;0,00;4,00;97,00;0;stress-ng
14:39:32;1000;16167;99,01;0,00;0,00;0,99;99,01;0;stress-ng
14:39:33;1000;16167;100,00;0,00;0,00;0,00;100,00;0;stress-ng
14:39:34;1000;16167;96,00;0,00;0,00;2,00;96,00;0;stress-ng
14:39:35;1000;16167;96,00;1,00;0,00;4,00;97,00;0;stress-ng
14:39:36;1000;16167;97,00;1,00;0,00;3,00;98,00;0;stress-ng
14:39:37;1000;16167;95,00;0,00;0,00;4,00;95,00;0;stress-ng
14:39:38;1000;16167;99,00;1,00;0,00;1,00;100,00;0;stress-ng
14:39:39;1000;16167;95,00;1,00;0,00;4,00;96,00;5;stress-ng
14:39:40;1000;16167;95,00;0,00;0,00;5,00;95,00;5;stress-ng
14:39:41;1000;16167;97,00;0,00;0,00;3,00;97,00;5;stress-ng
14:39:42;1000;16167;96,00;0,00;0,00;3,00;96,00;5;stress-ng
14:39:43;1000;16167;97,00;1,00;0,00;3,00;98,00;5;stress-ng
14:39:44;1000;16167;96,00;1,00;0,00;3,00;97,00;5;stress-ng
14:39:45;1000;16167;95,00;1,00;0,00;4,00;96,00;5;stress-ng
14:39:46;1000;16167;93,00;1,00;0,00;6,00;94,00;5;stress-ng
14:39:47;1000;16167;95,05;0,99;0,00;2,97;96,04;5;stress-ng
14:39:48;1000;16167;98,00;0,00;0,00;3,00;98,00;5;stress-ng
14:39:49;1000;16167;95,05;1,98;0,00;1,98;97,03;5;stress-ng
14:39:50;1000;16167;95,00;2,00;0,00;3,00;97,00;3;stress-ng
14:39:51;1000;16167;97,00;0,00;0,00;3,00;97,00;3;stress-ng
14:39:52;1000;16167;95,05;0,99;0,00;3,96;96,04;3;stress-ng
14:39:53;1000;16167;96,00;0,00;0,00;3,00;96,00;3;stress-ng
14:39:54;1000;16167;97,00;1,00;0,00;4,00;98,00;3;stress-ng
14:39:55;1000;16167;95,00;0,00;0,00;3,00;95,00;3;stress-ng
14:39:56;1000;16167;95,00;2,00;0,00;5,00;97,00;3;stress-ng
14:39:57;1000;16167;92,00;3,00;0,00;5,00;95,00;3;stress-ng
14:39:58;1000;16167;100,00;0,00;0,00;0,00;100,00;3;stress-ng
14:39:59;1000;16167;93,00;0,00;0,00;7,00;93,00;3;stress-ng
14:40:00;1000;16167;96,00;0,00;0,00;3,00;96,00;3;stress-ng
14:40:01;1000;16167;92,08;0,00;0,00;6,93;92,08;3;stress-ng
14:40:02;1000;16167;94,00;2,00;0,00;6,00;96,00;3;stress-ng
14:40:03;1000;16167;91,00;1,00;0,00;8,00;92,00;3;stress-ng
14:40:04;1000;16167;93,00;0,00;0,00;6,00;93,00;3;stress-ng
14:40:05;1000;16167;99,00;1,00;0,00;1,00;100,00;3;stress-ng
14:40:06;1000;16167;96,00;0,00;0,00;4,00;96,00;3;stress-ng
14:40:07;1000;16167;96,04;0,00;0,00;2,97;96,04;3;stress-ng
14:40:08;1000;16167;97,00;1,00;0,00;1,00;98,00;3;stress-ng
14:40:09;1000;16167;98,00;1,00;0,00;2,00;99,00;3;stress-ng
14:40:10;1000;16167;98,00;0,00;0,00;2,00;98,00;3;stress-ng
14:40:11;1000;16167;93,00;3,00;0,00;5,00;96,00;3;stress-ng
14:40:12;1000;16167;100,00;0,00;0,00;0,00;100,00;3;stress-ng
14:40:13;1000;16167;99,00;0,00;0,00;1,00;99,00;3;stress-ng
14:40:14;1000;16167;97,03;0,99;0,00;1,98;98,02;3;stress-ng
14:40:15;1000;16167;92,08;0,99;0,00;5,94;93,07;3;stress-ng
14:40:16;1000;16167;99,00;0,00;0,00;2,00;99,00;3;stress-ng
14:40:17;1000;16167;99,00;0,00;0,00;1,00;99,00;5;stress-ng
14:40:18;1000;16167;91,00;1,00;0,00;9,00;92,00;5;stress-ng
14:40:19;1000;16167;92,00;0,00;0,00;6,00;92,00;5;stress-ng
14:40:20;1000;16167;96,04;0,00;0,00;3,96;96,04;5;stress-ng
14:40:21;1000;16167;96,00;0,00;0,00;4,00;96,00;5;stress-ng
14:40:22;1000;16167;99,00;0,00;0,00;2,00;99,00;5;stress-ng
14:40:23;1000;16167;96,00;0,00;0,00;4,00;96,00;5;stress-ng
14:40:24;1000;16167;93,00;1,00;0,00;6,00;94,00;5;stress-ng
14:40:25;1000;16167;88,24;2,94;0,00;9,80;91,18;5;stress-ng
