sched;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
1;0;60.01;39.26;20.19;0.00;0.00;99.06
2;0;60.01;78.37;40.62;0.00;0.00;99.14
3;0;60.01;116.50;61.86;0.00;0.00;99.07
4;0;60.04;155.44;82.45;0.00;0.00;99.06
5;0;60.01;195.64;101.69;0.00;0.00;99.09
6;0;60.03;234.80;122.07;0.00;0.00;99.09
7;0;60.02;271.44;144.19;0.00;0.00;98.93
8;0;60.02;308.34;162.48;0.00;0.00;98.05
9;0;60.02;308.51;162.26;0.00;0.00;87.15
10;0;60.02;307.29;163.54;0.00;0.00;78.44
11;0;60.02;308.01;162.91;0.00;0.00;71.32
12;0;60.04;304.24;163.56;0.00;0.00;64.93
13;0;60.03;300.14;168.08;0.00;0.00;59.99
14;0;60.04;302.00;165.21;0.00;0.00;55.59
15;0;60.04;300.64;168.02;0.00;0.00;52.04
16;0;60.06;298.31;169.98;0.00;0.00;48.73
17;0;60.05;299.52;167.99;0.00;0.00;45.79
