sched;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
1;83045;30.00;26.63;3.45;2768.13;2760.80;100.27
2;162464;30.00;53.56;6.46;5415.44;2706.83;100.03
3;228976;30.00;79.83;10.15;7632.39;2544.74;99.98
4;313657;30.00;106.80;13.18;10455.12;2614.24;99.98
5;359242;30.00;133.51;16.45;11974.64;2395.59;99.97
6;394966;30.00;159.10;20.22;13165.33;2202.58;99.62
7;423207;30.00;186.13;23.01;14106.42;2023.56;99.59
8;438297;30.00;208.66;26.59;14609.58;1863.11;98.02
9;438724;30.00;210.15;25.42;14623.84;1862.39;87.25
10;439217;30.00;209.96;25.94;14640.17;1861.88;78.63
11;444812;30.00;209.94;25.93;14826.74;1885.84;71.47
12;442176;30.00;209.35;26.49;14738.06;1874.90;65.51
13;432713;30.00;209.75;26.18;14423.18;1834.07;60.49
14;435582;30.00;209.26;26.74;14518.81;1845.69;56.19
15;445462;30.00;209.66;26.28;14848.20;1888.03;52.43
16;442864;30.00;209.58;26.39;14761.33;1876.78;49.16
17;442633;30.00;209.29;26.61;14754.11;1876.36;46.25
18;438179;30.00;208.17;26.32;14604.51;1868.65;43.42
19;443180;30.00;210.03;26.60;14771.63;1872.88;41.51
20;429226;30.01;209.57;26.61;14304.97;1817.37;39.36
21;440176;30.00;209.40;26.36;14671.57;1867.05;37.42
22;426458;30.00;209.58;26.26;14214.59;1808.25;35.73
23;407721;30.00;208.06;26.84;13589.82;1735.72;34.04
24;439686;30.00;209.01;27.05;14655.02;1862.60;32.78
25;429772;30.00;209.75;26.19;14324.18;1821.53;31.46
26;437477;30.00;209.46;26.21;14581.79;1856.31;30.21
27;439821;30.00;208.80;27.17;14659.34;1863.89;29.13
28;442866;30.00;209.23;26.49;14760.46;1878.78;28.06
29;443732;30.00;209.89;26.12;14788.83;1880.14;27.12
30;445315;30.00;209.54;26.53;14842.04;1886.37;26.23
31;436903;30.00;209.52;26.43;14561.22;1851.68;25.37
32;443963;30.00;209.94;26.18;14797.01;1880.24;24.59
33;436675;30.00;209.16;26.57;14554.96;1852.44;23.81
34;448129;30.01;209.59;26.38;14934.58;1899.09;23.13
35;436967;30.01;209.44;26.42;14562.71;1852.65;22.46
36;439159;30.00;209.38;26.39;14636.52;1862.66;21.83
37;439421;30.00;209.47;26.33;14645.90;1863.53;21.24
38;446975;30.01;209.57;26.54;14895.67;1893.08;20.71
39;431485;30.00;209.12;26.65;14380.83;1830.11;20.15
40;437743;30.01;209.89;26.15;14588.10;1854.53;19.67
41;443371;30.01;210.66;25.64;14773.54;1876.31;19.20
42;444766;30.01;209.57;26.53;14821.95;1883.80;18.73
43;427248;30.01;209.51;26.49;14238.03;1810.37;18.29
44;439640;30.01;209.69;26.27;14650.76;1863.20;17.87
45;446944;30.00;209.80;26.55;14896.12;1891.03;17.51
46;437406;30.01;209.81;26.29;14576.29;1852.63;17.10
47;443689;30.01;209.73;26.24;14786.35;1880.28;16.73
48;428101;30.00;208.37;27.07;14268.02;1818.30;16.35
49;450209;30.00;209.93;25.92;15008.05;1908.88;16.05
50;440285;30.01;210.28;25.76;14672.53;1865.30;15.73
51;438142;30.01;209.73;26.37;14601.46;1855.75;15.43
52;436587;30.01;209.69;26.64;14549.56;1847.36;15.15
53;434855;30.01;209.80;26.59;14491.73;1839.57;14.86
54;444125;30.00;210.17;26.16;14801.80;1879.26;14.59
55;438848;30.01;210.08;26.10;14624.49;1858.11;14.31
56;430825;30.01;210.15;25.70;14358.16;1826.69;14.04
57;440852;30.01;209.85;26.53;14690.86;1865.01;13.82
58;443024;30.01;210.11;25.93;14762.18;1876.90;13.56
59;442458;30.01;210.18;26.28;14742.66;1871.17;13.35
60;436287;30.01;209.54;26.96;14538.34;1844.77;13.13
61;438148;30.01;209.79;26.71;14599.70;1852.63;12.92
62;439425;30.01;209.87;26.22;14640.89;1861.26;12.69
63;437600;30.01;209.87;25.99;14581.95;1855.34;12.48
64;440174;30.01;210.67;25.91;14667.03;1860.57;12.32
65;443892;30.01;210.04;26.45;14791.25;1877.00;12.12
66;442653;30.01;210.22;26.55;14749.27;1869.55;11.95
67;443661;30.01;210.62;25.77;14782.82;1876.82;11.76
68;445343;30.01;209.61;27.02;14839.00;1882.02;11.60
69;437549;30.01;210.32;26.12;14580.05;1850.57;11.42
70;439408;30.01;210.28;26.41;14641.73;1856.47;11.27
71;441604;30.01;211.02;25.76;14713.85;1865.04;11.11
72;444267;30.01;210.52;26.00;14802.80;1878.35;10.95
73;432034;30.02;210.42;26.18;14393.53;1826.01;10.80
74;442640;30.02;211.01;25.68;14745.79;1870.13;10.66
75;366274;30.01;205.56;28.68;12203.44;1563.67;10.41
76;434212;30.01;210.37;26.32;14467.07;1834.52;10.38
77;439543;30.01;210.72;26.78;14645.52;1850.71;10.28
78;440433;30.01;210.78;26.42;14674.01;1856.80;10.13
79;445671;30.01;210.31;26.25;14849.95;1883.97;9.98
80;444698;30.01;210.60;26.36;14817.40;1876.68;9.87
81;442494;30.01;210.43;26.81;14742.94;1865.17;9.76
82;444680;30.01;211.20;25.90;14816.70;1875.50;9.63
83;444831;30.01;210.75;26.23;14821.96;1877.08;9.51
84;445163;30.02;211.37;26.45;14831.24;1871.85;9.43
85;437320;30.01;211.48;25.96;14570.65;1841.81;9.31
86;446335;30.01;209.45;27.00;14872.53;1887.65;9.16
87;432711;30.01;210.36;25.89;14418.51;1831.58;9.05
88;443562;30.01;209.91;26.28;14780.74;1877.99;8.94
89;444208;30.01;210.59;26.38;14801.14;1874.53;8.87
90;438042;30.01;210.41;26.96;14594.84;1845.40;8.79
91;442966;30.01;211.15;26.42;14758.33;1864.57;8.70
92;448517;30.02;211.79;26.35;14942.64;1883.42;8.62
93;441907;30.01;211.25;26.26;14723.52;1860.58;8.51
94;436539;30.01;210.79;26.49;14544.71;1839.76;8.41
95;437971;30.01;210.32;25.24;14593.31;1859.28;8.26
96;445694;30.01;212.23;25.91;14850.02;1871.56;8.27
97;448027;30.01;212.02;26.49;14927.08;1878.44;8.19
98;445408;30.01;212.91;25.86;14840.91;1865.43;8.12
99;449624;30.02;213.11;26.13;14977.94;1879.38;8.05
100;444232;30.01;210.82;26.73;14801.49;1870.06;7.91
101;440297;30.01;210.83;27.28;14671.41;1849.13;7.86
102;443634;30.01;212.08;26.35;14780.58;1860.65;7.79
103;444780;30.01;211.99;26.18;14819.26;1867.49;7.70
104;443720;30.01;211.69;25.82;14784.44;1868.22;7.61
105;443945;30.02;211.02;27.42;14789.43;1861.87;7.57
106;438669;30.03;211.82;25.79;14608.82;1846.17;7.47
107;447888;30.02;211.88;26.53;14921.57;1878.65;7.42
108;446445;30.02;211.85;26.24;14872.72;1875.11;7.34
109;450837;30.02;212.03;27.45;15018.39;1882.57;7.32
110;420906;30.02;211.82;26.47;14021.05;1766.36;7.22
111;380872;30.04;209.59;27.73;12680.58;1604.89;7.12
112;435485;30.02;212.98;26.71;14506.58;1816.87;7.13
113;443164;30.02;211.63;27.98;14762.65;1849.52;7.06
114;442991;30.02;213.73;26.52;14755.80;1843.88;7.02
115;405603;30.03;210.45;26.81;13507.97;1709.53;6.87
116;395662;30.02;212.50;27.20;13180.50;1650.65;6.88
117;450502;30.01;213.37;26.22;15010.07;1880.30;6.82
118;450023;30.02;213.16;26.16;14992.96;1880.42;6.76
119;447118;30.02;212.93;26.56;14893.05;1866.96;6.70
120;456026;30.02;216.10;26.34;15189.54;1880.98;6.73
121;449375;30.02;213.78;26.11;14970.41;1873.25;6.60
122;448107;30.02;213.54;26.39;14927.71;1867.66;6.55
