zlib;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
1;811;30.04;30.19;0.09;27.00;26.78;100.81
2;1767;30.06;60.39;0.35;58.78;29.09;101.03
3;2650;30.07;90.92;0.24;88.12;29.07;101.05
4;3392;30.21;121.81;0.47;112.27;27.74;101.18
5;4247;30.12;151.79;0.56;141.00;27.88;101.16
6;4435;30.09;180.56;0.52;147.37;24.49;100.29
7;4906;30.15;209.58;0.52;162.72;23.35;99.55
8;5595;30.10;235.79;0.68;185.90;23.66;98.21
9;5573;30.13;235.81;0.95;184.96;23.54;87.31
10;5612;30.07;235.36;0.99;186.66;23.74;78.61
11;5573;30.15;236.02;0.93;184.82;23.52;71.44
12;5781;30.12;236.10;0.93;191.93;24.39;65.58
13;5492;30.11;235.63;1.06;182.37;23.20;60.46
14;5335;30.15;236.18;0.94;176.97;22.50;56.18
15;5232;30.17;236.30;1.09;173.44;22.04;52.46
16;5469;30.11;235.56;1.07;181.65;23.11;49.12
17;5200;30.21;237.07;0.97;172.15;21.85;46.35
18;5241;30.17;235.69;1.09;173.71;22.13;43.60
19;5170;30.23;236.92;1.22;171.00;21.71;41.46
20;5425;30.29;237.42;0.99;179.13;22.75;39.36
21;5141;30.24;236.16;1.24;169.99;21.66;37.38
22;4806;30.25;230.13;1.69;158.87;20.73;34.83
23;5418;30.19;236.87;0.96;179.44;22.78;34.25
24;5191;30.20;236.75;1.11;171.86;21.82;32.81
25;5247;30.25;237.15;1.15;173.44;22.02;31.51
26;5242;30.30;237.40;1.06;172.99;21.98;30.27
27;5462;30.29;237.81;1.07;180.35;22.87;29.21
28;5713;30.26;237.40;1.16;188.77;23.95;28.15
29;5396;30.25;237.43;1.07;178.36;22.62;27.18
30;5154;30.29;237.91;1.16;170.13;21.56;26.31
31;5351;30.35;236.87;1.19;176.31;22.48;25.30
32;5424;30.32;237.82;1.09;178.89;22.70;24.62
33;5375;30.34;238.21;1.17;177.13;22.45;23.91
34;5287;30.43;239.03;1.19;173.72;22.01;23.21
35;5498;30.44;238.73;1.17;180.64;22.92;22.52
36;5238;30.40;238.46;1.27;172.29;21.85;21.90
37;5380;30.35;238.43;1.16;177.24;22.46;21.33
38;5546;30.29;237.49;1.18;183.12;23.24;20.74
39;5343;30.43;239.73;1.20;175.58;22.18;20.30
40;5504;30.39;239.48;1.02;181.11;22.89;19.78
41;5409;30.56;240.93;1.26;176.97;22.33;19.33
42;5420;30.62;240.71;1.31;177.03;22.39;18.82
43;5583;30.38;239.33;0.91;183.75;23.24;18.39
44;5457;30.48;239.74;0.99;179.01;22.67;17.95
45;5506;30.50;240.05;1.02;180.50;22.84;17.56
46;5522;30.49;240.53;0.95;181.11;22.87;17.22
47;5459;30.51;239.87;1.03;178.94;22.66;16.80
48;5213;30.53;240.01;1.02;170.73;21.63;16.45
49;5596;30.57;240.92;0.89;183.08;23.14;16.14
50;5211;30.53;240.22;1.03;170.68;21.60;15.80
51;5892;30.52;240.18;0.96;193.08;24.43;15.49
52;5675;30.44;239.85;0.98;186.41;23.56;15.21
53;5344;30.52;241.21;0.78;175.10;22.08;14.96
54;5607;30.58;241.51;0.94;183.36;23.13;14.68
55;5183;30.45;240.09;0.90;170.21;21.51;14.39
56;5946;30.53;240.55;0.92;194.79;24.62;14.13
57;5397;30.46;240.20;0.95;177.18;22.38;13.89
58;5626;30.64;242.79;0.82;183.61;23.09;13.71
59;5316;30.55;240.93;0.94;174.00;21.98;13.42
60;5755;30.63;242.14;1.11;187.86;23.66;13.23
61;5695;30.70;243.56;0.90;185.50;23.30;13.05
62;5694;30.63;241.72;0.91;185.87;23.47;12.77
63;5821;30.67;242.09;0.86;189.78;23.96;12.57
64;5343;30.50;241.13;0.96;175.16;22.07;12.40
65;5586;30.87;245.14;0.93;180.93;22.70;12.26
66;5710;30.55;241.85;1.01;186.93;23.51;12.05
67;5623;30.83;243.44;0.96;182.40;23.01;11.83
68;5767;30.77;244.45;0.93;187.44;23.50;11.73
69;5285;30.79;244.50;1.05;171.67;21.52;11.56
70;5241;30.89;244.95;0.99;169.67;21.31;11.37
71;5754;30.76;243.22;1.02;187.04;23.56;11.18
72;5604;30.69;243.07;0.81;182.58;22.98;11.04
73;5711;30.86;246.13;0.82;185.08;23.13;10.96
74;5614;30.77;243.97;0.94;182.43;22.92;10.75
