netlink-task;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
1;9088594;30.00;7.16;22.83;302953.21;303054.15;99.97
2;16816719;30.00;13.42;46.56;560554.64;280372.11;99.97
3;21557714;30.00;16.90;73.05;718588.73;239663.30;99.94
4;19037412;30.00;15.72;104.18;634578.24;158777.41;99.92
5;15973222;30.00;13.99;135.78;532412.73;106651.68;99.84
6;14920314;30.00;12.70;166.43;497339.13;83293.22;99.52
7;13417332;30.00;12.33;194.16;447243.76;64978.12;98.33
8;9749968;30.00;10.54;217.07;324978.97;42836.29;94.83
9;11779276;30.00;11.23;209.56;392639.25;53350.59;81.77
10;12367555;30.00;11.34;204.35;412248.44;57339.49;71.90
11;12115966;30.00;11.54;202.80;403851.14;56526.85;64.95
12;12232599;30.00;11.18;202.67;407751.82;57201.77;59.40
13;12239176;30.00;11.45;202.57;407953.59;57187.07;54.87
14;12352603;30.00;11.38;202.29;411750.09;57811.59;50.87
15;12186558;30.00;11.22;202.77;406211.71;56949.19;47.55
16;12349597;30.00;11.33;201.34;411649.66;58069.30;44.31
17;12553820;30.00;11.90;200.98;418414.13;58971.35;41.74
18;12325009;30.00;11.56;200.65;410815.55;58079.30;39.30
19;12102482;30.00;11.52;200.50;403408.84;57081.79;37.20
20;12398639;30.01;11.58;199.33;413180.43;58786.40;35.14
21;11128119;30.00;11.11;196.29;370926.08;53655.35;32.92
22;12478864;30.00;11.92;194.67;415951.69;60404.01;31.30
23;12664366;30.00;12.03;194.12;422118.56;61432.77;29.87
24;12570883;30.00;11.54;196.24;418983.27;60500.93;28.86
25;12503834;30.00;11.42;195.63;416739.01;60390.41;27.60
26;12593908;30.00;11.76;196.98;419751.33;60332.99;26.76
27;12203287;30.00;11.57;194.15;406716.36;59319.89;25.39
28;10976508;30.00;11.34;197.37;365828.24;52592.15;24.84
29;10498230;30.00;10.56;196.54;349924.84;50691.60;23.80
30;11531326;30.01;10.81;193.24;384304.96;56512.26;22.67
31;12610579;30.00;11.75;193.76;420319.60;61362.36;22.10
32;12705845;30.00;11.75;192.39;423483.25;62240.84;21.26
33;12454664;30.00;11.98;192.54;415122.37;60897.05;20.66
34;12769560;30.00;11.68;191.34;425614.23;62898.04;19.90
35;11907768;30.00;11.15;193.32;396866.86;58237.24;19.47
36;12847685;30.01;11.27;191.31;428177.24;63420.30;18.75
37;12665509;30.00;11.38;192.59;422138.15;62094.96;18.37
38;12598790;30.00;11.77;191.92;419907.03;61852.77;17.87
39;12855955;30.01;11.81;186.33;428429.64;64883.19;16.93
