pipe_data_size;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
4;13469220;10.00;19.13;43.29;1346860.44;215783.72;156.04
20;9931696;10.00;13.56;38.69;993126.51;190080.31;130.62
36;13402950;10.00;19.00;43.15;1340196.52;215654.87;155.36
52;14313545;10.00;20.48;43.77;1431234.63;222778.91;160.61
68;11690145;10.00;16.73;40.86;1168954.91;202989.15;143.97
84;13688874;10.00;19.20;43.85;1368770.24;217111.40;157.61
100;13795763;10.00;19.03;44.18;1379473.46;218252.86;158.01
116;13014219;10.00;17.73;42.42;1301290.85;216362.74;150.36
132;14324943;10.00;20.34;44.11;1432426.68;222264.44;161.12
148;14131890;10.00;19.74;44.44;1413119.29;220191.49;160.44
164;12846907;10.00;17.33;42.82;1284612.00;213581.16;150.37
180;13940471;10.00;19.88;43.55;1393969.41;219777.25;158.57
196;12687514;10.00;18.64;41.78;1268558.45;209988.65;151.03
212;8583757;10.00;12.18;36.88;858309.14;174964.47;122.64
228;14254793;10.00;20.33;44.10;1425443.12;221244.65;161.07
244;14077055;10.00;20.25;43.66;1407553.59;220263.73;159.76
260;13317566;10.00;18.27;43.01;1331698.70;217323.20;153.19
276;13607566;10.00;19.56;43.48;1360682.98;215856.06;157.59
292;14339806;10.00;19.67;44.74;1433814.34;222633.22;161.01
308;13062921;10.00;18.09;43.00;1306237.33;213830.76;152.72
324;14365102;10.00;20.60;44.34;1436424.21;221205.76;162.34
340;14215729;10.00;20.44;43.90;1421423.57;220946.98;160.83
356;12952520;10.00;17.67;43.02;1295182.64;213420.99;151.72
372;14286913;10.00;20.26;44.26;1428628.73;221433.87;161.29
388;14204680;10.00;19.85;44.36;1420293.17;221222.24;160.51
404;13310962;10.00;18.41;43.27;1330543.24;215806.78;154.14
420;14256433;10.00;20.62;44.11;1425548.56;220244.60;161.81
436;13861752;10.00;19.28;43.95;1386083.97;219227.46;158.06
452;13047236;10.00;17.81;43.11;1304219.93;214169.99;152.24
468;14319572;10.00;20.24;44.22;1431873.73;222146.63;161.14
484;14188807;10.00;20.10;44.31;1418777.66;220288.88;161.01
500;13292148;10.00;18.04;43.75;1329145.88;215118.11;154.47
516;14187810;10.00;20.26;44.02;1418702.44;220718.89;160.69
532;13509252;10.00;18.86;43.68;1350836.85;216009.79;156.34
548;12966526;10.00;17.82;43.18;1296575.30;212566.00;152.49
564;14122138;10.00;19.47;44.68;1412152.22;220142.45;160.37
580;14237890;10.00;20.10;44.16;1423714.15;221566.92;160.64
596;13415367;10.00;18.83;43.19;1341465.83;216307.11;155.04
612;14424541;10.00;20.65;44.35;1442375.75;221916.02;162.49
628;14078101;10.00;19.42;44.24;1407741.30;221145.16;159.14
644;13514717;10.00;18.60;43.56;1351392.04;217418.23;155.39
660;13953478;10.00;19.67;44.00;1395282.75;219153.10;159.17
676;14153410;10.00;19.41;44.85;1415257.32;220252.26;160.64
692;13507188;10.00;18.53;43.48;1350682.36;217822.74;155.02
708;14302906;10.00;20.18;44.54;1430155.38;220996.69;161.78
724;13877842;10.00;19.18;44.02;1387720.13;219586.11;157.99
740;13009231;10.00;17.73;43.11;1300842.98;213826.94;152.09
756;13791583;10.00;19.03;44.44;1379060.90;217292.94;158.66
772;14194600;10.00;20.15;44.06;1419260.31;221065.25;160.50
788;13524845;10.00;18.64;43.63;1352418.19;217196.80;155.67
804;14377250;10.00;20.23;44.56;1437664.36;221905.39;161.97
820;14012273;10.00;19.59;43.93;1401153.81;220596.24;158.79
836;13173918;10.00;18.47;42.93;1317304.67;214558.93;153.49
852;14231717;10.00;20.32;44.24;1423101.05;220441.71;161.39
868;13649960;10.00;19.33;43.64;1364886.29;216769.26;157.41
884;13599836;10.00;19.04;43.33;1359929.78;218050.92;155.92
900;14424523;10.00;20.51;44.35;1442396.12;222394.74;162.14
916;14118420;10.00;20.16;43.76;1411740.33;220876.41;159.79
932;13762678;10.00;19.09;43.76;1376218.73;218976.58;157.12
948;14070284;10.00;18.86;45.06;1406775.29;220123.34;159.77
964;13716807;10.00;19.34;43.63;1371614.98;217830.82;157.42
980;13521007;10.00;18.48;43.52;1352028.98;218080.76;154.99
996;14338593;10.00;20.50;44.27;1433742.78;221377.07;161.91
1012;13770637;10.01;19.35;43.96;1375652.93;217511.25;158.11
1028;13395572;10.00;18.93;42.83;1339465.51;216897.22;154.39
1044;14270130;10.01;19.94;44.67;1426079.13;220865.66;161.42
