pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
100000;100000;0.14;0.07;0.47;712669.48;185185.19;96.21
110000;110000;0.08;0.12;0.29;1403820.84;268292.68;130.81
120000;120000;0.10;0.12;0.41;1170078.27;226415.09;129.20
130000;130000;0.11;0.14;0.43;1231506.18;228070.18;134.99
140000;140000;0.12;0.18;0.43;1203152.65;229508.20;131.06
150000;150000;0.17;0.16;0.56;908185.64;208333.33;108.98
160000;160000;0.41;0.17;0.88;387561.46;152380.95;63.58
170000;170000;0.19;0.18;0.62;909604.20;212500.00;107.01
180000;180000;0.16;0.23;0.59;1140285.44;219512.20;129.87
190000;190000;0.18;0.15;0.72;1049301.88;218390.80;120.12
200000;200000;0.16;0.26;0.66;1242787.58;217391.30;142.92
210000;210000;0.18;0.25;0.72;1193012.94;216494.85;137.76
220000;220000;0.18;0.19;0.82;1256710.46;217821.78;144.24
230000;230000;0.16;0.31;0.66;1403618.67;237113.40;147.99
240000;240000;0.16;0.34;0.64;1477272.90;244897.96;150.80
250000;250000;0.19;0.24;0.79;1328698.96;242718.45;136.86
260000;260000;0.18;0.32;0.77;1458820.04;238532.11;152.90
270000;270000;0.20;0.31;0.85;1346440.01;232758.62;144.62
280000;280000;0.19;0.37;0.81;1489419.13;237288.14;156.92
290000;290000;0.20;0.34;0.88;1477673.63;237704.92;155.41
300000;300000;0.22;0.34;0.88;1395062.81;245901.64;141.83
310000;310000;0.22;0.38;0.92;1428459.16;238461.54;149.76
320000;320000;0.22;0.38;0.98;1482425.48;235294.12;157.51
330000;330000;0.22;0.44;0.93;1514673.43;240875.91;157.20
340000;340000;0.24;0.43;0.97;1431618.04;242857.14;147.37
350000;350000;0.28;0.45;1.13;1271583.88;221518.99;143.51
360000;360000;0.25;0.48;1.08;1455983.77;230769.23;157.73
370000;370000;0.29;0.42;1.25;1289767.27;221556.89;145.53
380000;380000;0.27;0.51;1.10;1409058.93;236024.84;149.25
390000;390000;0.34;0.53;1.34;1153251.50;208556.15;138.24
400000;400000;0.27;0.49;1.21;1459401.36;235294.12;155.06
410000;410000;0.29;0.50;1.22;1400292.56;238372.09;146.86
420000;420000;0.31;0.54;1.25;1354025.13;234636.87;144.27
430000;430000;0.29;0.56;1.29;1462059.05;232432.43;157.26
440000;440000;0.31;0.58;1.36;1427161.64;226804.12;157.31
450000;450000;0.40;0.56;1.58;1113897.75;210280.37;132.43
460000;460000;0.62;0.58;2.03;743775.71;176245.21;105.50
470000;470000;0.55;0.65;1.90;857817.10;184313.73;116.35
480000;480000;0.65;0.73;2.29;740089.05;158940.40;116.41
490000;490000;0.40;0.69;1.58;1230494.95;215859.03;142.51
500000;500000;0.48;0.65;1.95;1047306.93;192307.69;136.15
510000;510000;0.42;0.66;1.76;1207689.37;210743.80;143.27
520000;520000;0.35;0.70;1.55;1484289.56;231111.11;160.56
530000;530000;0.38;0.70;1.65;1404257.99;225531.91;155.66
540000;540000;0.40;0.77;1.64;1364252.30;224066.39;152.22
550000;550000;0.55;0.70;2.14;998992.92;193661.97;128.96
560000;560000;0.47;0.76;1.86;1179429.64;213740.46;137.95
570000;570000;0.86;0.74;2.87;664163.40;157894.74;105.16
580000;580000;0.70;0.69;2.56;824539.47;178461.54;115.51
