pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
1;21111317;30.00;20.73;35.52;703692.22;375312.30;187.50
2;36948832;30.00;37.50;71.55;1231610.76;338824.69;181.75
3;38396019;30.00;48.80;103.87;1279844.16;251496.82;169.63
4;41248179;30.00;58.25;130.82;1374908.89;218163.53;157.55
5;40261170;30.00;58.13;139.84;1342006.61;203370.06;131.98
6;35640127;30.00;54.41;153.70;1187956.86;171256.20;115.61
7;27679622;30.00;52.05;165.46;922641.82;127256.78;103.57
8;27581758;30.00;55.83;179.91;919374.37;117000.76;98.22
9;26459826;30.00;54.49;180.89;881979.22;112413.23;87.18
10;25522843;30.00;53.51;181.79;850745.08;108469.37;78.43
11;25126964;30.00;52.46;183.07;837544.94;106682.65;71.37
12;24868318;30.00;51.97;183.77;828925.32;105490.45;65.48
13;23932869;30.00;51.65;184.17;797744.57;101487.87;60.47
14;23235764;30.00;51.22;184.60;774506.96;98531.78;56.15
15;22560395;30.00;50.07;185.70;751989.73;95688.15;52.39
16;22565425;30.00;51.43;184.42;752166.83;95677.02;49.13
17;20886782;30.00;50.43;184.29;696209.31;88985.95;46.02
18;21458178;30.00;50.31;185.69;715255.19;90924.48;43.70
19;20934764;30.00;50.83;184.90;697795.99;88808.23;41.35
20;20434414;30.00;50.27;184.20;681122.60;87151.51;39.08
21;19801260;30.00;50.25;185.73;660023.39;83910.76;37.46
22;21023507;30.00;50.75;185.56;700764.15;88965.79;35.80
23;20413893;30.00;50.40;185.83;680462.98;86415.33;34.24
24;20284083;30.00;50.37;185.52;676120.80;85989.58;32.76
25;20430451;30.00;51.49;184.73;680993.59;86489.08;31.50
26;20224855;30.00;51.46;184.73;674149.15;85629.60;30.28
27;19951855;30.00;50.71;185.49;665042.80;84470.17;29.16
28;18966922;30.00;50.40;184.95;632213.82;80590.28;28.02
29;19586602;30.00;50.88;185.27;652875.41;82941.36;27.14
30;19447388;30.05;51.06;185.26;647269.56;82292.60;26.22
