Linux 6.2.0-36-generic (alexey-ubuntu) 	19.11.2023 	_x86_64_	(8 CPU)

23:26:39      UID       PID prio policy  Command
23:26:40        0    233911    0   IDLE  stress-ng
23:26:41        0    233911    0 DEADLN  stress-ng
23:26:42        0    233911    0 DEADLN  stress-ng
23:26:43        0    233911    0 DEADLN  stress-ng
23:26:44        0    233911    0 DEADLN  stress-ng
23:26:45        0    233911    0 DEADLN  stress-ng
23:26:46        0    233911    0 DEADLN  stress-ng
23:26:47        0    233911    0 DEADLN  stress-ng
23:26:48        0    233911    0 DEADLN  stress-ng
23:26:49        0    233911    0 DEADLN  stress-ng
23:26:50        0    233911    0 DEADLN  stress-ng
23:26:51        0    233911    0   IDLE  stress-ng
23:26:52        0    233911    0 DEADLN  stress-ng
23:26:53        0    233911    0 DEADLN  stress-ng
23:26:54        0    233911    0 DEADLN  stress-ng
23:26:55        0    233911    0 DEADLN  stress-ng
23:26:56        0    233911    0 DEADLN  stress-ng
23:26:57        0    233911    0 DEADLN  stress-ng
23:26:58        0    233911    0 DEADLN  stress-ng
23:26:59        0    233911    0 DEADLN  stress-ng
23:27:00        0    233911    0 DEADLN  stress-ng
23:27:01        0    233911    0 DEADLN  stress-ng
23:27:02        0    233911    0 DEADLN  stress-ng
23:27:03        0    233911    0 DEADLN  stress-ng
23:27:04        0    233911    0 DEADLN  stress-ng
23:27:05        0    233911    0 DEADLN  stress-ng
23:27:06        0    233911    0 DEADLN  stress-ng
23:27:07        0    233911    0 DEADLN  stress-ng
23:27:08        0    233911    0 DEADLN  stress-ng
23:27:09        0    233911    0 DEADLN  stress-ng
23:27:10        0    233911    0 DEADLN  stress-ng
23:27:11        0    233911    0 DEADLN  stress-ng
23:27:12        0    233911    0   IDLE  stress-ng
23:27:13        0    233911    0   IDLE  stress-ng
23:27:14        0    233911    0 DEADLN  stress-ng
23:27:15        0    233911    0 DEADLN  stress-ng
23:27:16        0    233911    0 DEADLN  stress-ng
23:27:17        0    233911    0 DEADLN  stress-ng
23:27:18        0    233911    0 DEADLN  stress-ng
23:27:19        0    233911    0 DEADLN  stress-ng
23:27:20        0    233911    0 DEADLN  stress-ng
23:27:21        0    233911    0 DEADLN  stress-ng
23:27:22        0    233911    0 DEADLN  stress-ng
23:27:23        0    233911    0 DEADLN  stress-ng
23:27:24        0    233911    0 DEADLN  stress-ng
23:27:25        0    233911    0 DEADLN  stress-ng
23:27:26        0    233911    0 DEADLN  stress-ng
23:27:27        0    233911    0 DEADLN  stress-ng
23:27:28        0    233911    0 DEADLN  stress-ng
23:27:29        0    233911    0 DEADLN  stress-ng
23:27:30        0    233911    0 DEADLN  stress-ng
23:27:31        0    233911    0 DEADLN  stress-ng
23:27:32        0    233911    0 DEADLN  stress-ng
23:27:33        0    233911    0 DEADLN  stress-ng
23:27:34        0    233911    0 DEADLN  stress-ng
23:27:35        0    233911    0 DEADLN  stress-ng
23:27:36        0    233911    0 DEADLN  stress-ng
23:27:37        0    233911    0 DEADLN  stress-ng
23:27:38        0    233911    0 DEADLN  stress-ng
23:27:39        0    233911    0 DEADLN  stress-ng
23:27:40        0    233911    0 DEADLN  stress-ng
23:27:41        0    233911    0 DEADLN  stress-ng
23:27:42        0    233911    0 DEADLN  stress-ng
23:27:43        0    233911    0 DEADLN  stress-ng
23:27:44        0    233911    0 DEADLN  stress-ng
23:27:45        0    233911    0 DEADLN  stress-ng
23:27:46        0    233911    0 DEADLN  stress-ng
23:27:47        0    233911    0 DEADLN  stress-ng
23:27:48        0    233911    0 DEADLN  stress-ng
23:27:49        0    233911    0 DEADLN  stress-ng
23:27:50        0    233911    0 DEADLN  stress-ng
23:27:51        0    233911    0 DEADLN  stress-ng
23:27:52        0    233911    0 DEADLN  stress-ng
23:27:53        0    233911    0 DEADLN  stress-ng
23:27:54        0    233911    0 DEADLN  stress-ng
23:27:55        0    233911    0 DEADLN  stress-ng
23:27:56        0    233911    0 DEADLN  stress-ng
23:27:57        0    233911    0 DEADLN  stress-ng
23:27:58        0    233911    0 DEADLN  stress-ng
23:27:59        0    233911    0 DEADLN  stress-ng
23:28:00        0    233911    0 DEADLN  stress-ng
23:28:01        0    233911    0 DEADLN  stress-ng
23:28:02        0    233911    0 DEADLN  stress-ng
23:28:03        0    233911    0 DEADLN  stress-ng
23:28:04        0    233911    0 DEADLN  stress-ng
23:28:05        0    233911    0 DEADLN  stress-ng
23:28:06        0    233911    0 DEADLN  stress-ng
23:28:07        0    233911    0 DEADLN  stress-ng
23:28:08        0    233911    0 DEADLN  stress-ng
23:28:09        0    233911    0 DEADLN  stress-ng
23:28:10        0    233911    0 DEADLN  stress-ng
23:28:11        0    233911    0 DEADLN  stress-ng
23:28:12        0    233911    0 DEADLN  stress-ng
23:28:13        0    233911    0 DEADLN  stress-ng
23:28:14        0    233911    0 DEADLN  stress-ng
23:28:15        0    233911    0 DEADLN  stress-ng
23:28:16        0    233911    0 DEADLN  stress-ng
23:28:17        0    233911    0 DEADLN  stress-ng
23:28:18        0    233911    0 DEADLN  stress-ng
23:28:19        0    233911    0 DEADLN  stress-ng
23:28:20        0    233911    0 DEADLN  stress-ng
23:28:21        0    233911    0 DEADLN  stress-ng
23:28:22        0    233911    0 DEADLN  stress-ng
23:28:23        0    233911    0 DEADLN  stress-ng
23:28:24        0    233911    0 DEADLN  stress-ng
23:28:25        0    233911    0 DEADLN  stress-ng
23:28:26        0    233911    0 DEADLN  stress-ng
23:28:27        0    233911    0 DEADLN  stress-ng
23:28:28        0    233911    0 DEADLN  stress-ng
23:28:29        0    233911    0 DEADLN  stress-ng
23:28:30        0    233911    0 DEADLN  stress-ng
23:28:31        0    233911    0 DEADLN  stress-ng
23:28:32        0    233911    0 DEADLN  stress-ng
23:28:33        0    233911    0 DEADLN  stress-ng
23:28:34        0    233911    0 DEADLN  stress-ng
23:28:35        0    233911    0 DEADLN  stress-ng
23:28:36        0    233911    0 DEADLN  stress-ng
23:28:37        0    233911    0 DEADLN  stress-ng
23:28:38        0    233911    0 DEADLN  stress-ng
23:28:39        0    233911    0 DEADLN  stress-ng
23:28:40        0    233911    0 DEADLN  stress-ng
23:28:41        0    233911    0 DEADLN  stress-ng
23:28:42        0    233911    0 DEADLN  stress-ng
23:28:43        0    233911    0 DEADLN  stress-ng
23:28:44        0    233911    0 DEADLN  stress-ng
23:28:45        0    233911    0 DEADLN  stress-ng
23:28:46        0    233911    0 DEADLN  stress-ng
23:28:47        0    233911    0 DEADLN  stress-ng
23:28:48        0    233911    0 DEADLN  stress-ng
23:28:49        0    233911    0 DEADLN  stress-ng
23:28:50        0    233911    0 DEADLN  stress-ng
23:28:51        0    233911    0 DEADLN  stress-ng
23:28:52        0    233911    0 DEADLN  stress-ng
23:28:53        0    233911    0 DEADLN  stress-ng
23:28:54        0    233911    0 DEADLN  stress-ng
23:28:55        0    233911    0 DEADLN  stress-ng
