Linux 6.2.0-36-generic (alexey-ubuntu) 	20.11.2023 	_x86_64_	(8 CPU)

00:08:27      UID       PID   cswch/s nvcswch/s  Command
00:08:28        0    240803      8,91      0,00  stress-ng
00:08:28        0    240804      8,91      0,00  stress-ng
00:08:28        0    240805      0,00  42635,64  stress-ng
00:08:28        0    240806      0,00  35152,48  stress-ng
00:08:28        0    240807      0,00  44908,91  stress-ng
00:08:28        0    240808      0,00  33151,49  stress-ng
00:08:28        0    240809      0,00  35875,25  stress-ng
00:08:28        0    240810      0,00  48206,93  stress-ng
00:08:28        0    240811      0,00  15813,86  stress-ng
00:08:28        0    240812      0,00  35016,83  stress-ng
00:08:28        0    240813      0,00  43201,98  stress-ng
00:08:28        0    240814      0,00  16856,44  stress-ng
00:08:28        0    240815      0,00  39674,26  stress-ng
00:08:28        0    240816      0,00  16735,64  stress-ng
00:08:28        0    240817      0,00  42865,35  stress-ng
00:08:28        0    240818      0,00  33338,61  stress-ng
00:08:28        0    240819      0,00  41230,69  stress-ng
00:08:28        0    240820      0,00  33212,87  stress-ng

00:08:28      UID       PID   cswch/s nvcswch/s  Command
00:08:29        0    240803      9,00      0,00  stress-ng
00:08:29        0    240804     10,00      0,00  stress-ng
00:08:29        0    240805      0,00  48724,00  stress-ng
00:08:29        0    240806      0,00  43908,00  stress-ng
00:08:29        0    240807      0,00  40645,00  stress-ng
00:08:29        0    240808      0,00  35065,00  stress-ng
00:08:29        0    240809      0,00  37526,00  stress-ng
00:08:29        0    240810      0,00  50081,00  stress-ng
00:08:29        0    240811      0,00  23016,00  stress-ng
00:08:29        0    240812      0,00  39929,00  stress-ng
00:08:29        0    240813      0,00  43542,00  stress-ng
00:08:29        0    240814      0,00   9851,00  stress-ng
00:08:29        0    240815      0,00  40524,00  stress-ng
00:08:29        0    240816      0,00  42682,00  stress-ng
00:08:29        0    240817      0,00    399,00  stress-ng
00:08:29        0    240818      0,00  27751,00  stress-ng
00:08:29        0    240819      0,00  34819,00  stress-ng
00:08:29        0    240820      0,00  40989,00  stress-ng

00:08:29      UID       PID   cswch/s nvcswch/s  Command
00:08:30        0    240803     10,00      0,00  stress-ng
00:08:30        0    240804      9,00      0,00  stress-ng
00:08:30        0    240805      0,00  36873,00  stress-ng
00:08:30        0    240806      0,00  37339,00  stress-ng
00:08:30        0    240807      0,00  31404,00  stress-ng
00:08:30        0    240808      0,00  47862,00  stress-ng
00:08:30        0    240809      0,00  36698,00  stress-ng
00:08:30        0    240810      0,00  26228,00  stress-ng
00:08:30        0    240811      0,00   1600,00  stress-ng
00:08:30        0    240812      0,00  48292,00  stress-ng
00:08:30        0    240813      0,00  50263,00  stress-ng
00:08:30        0    240814      0,00  36679,00  stress-ng
00:08:30        0    240815      0,00  48204,00  stress-ng
00:08:30        0    240816      0,00  35221,00  stress-ng
00:08:30        0    240817      0,00  38752,00  stress-ng
00:08:30        0    240818      0,00  30666,00  stress-ng
00:08:30        0    240819      0,00  28148,00  stress-ng
00:08:30        0    240820      0,00  44493,00  stress-ng

00:08:30      UID       PID   cswch/s nvcswch/s  Command
00:08:31        0    240803      9,00      0,00  stress-ng
00:08:31        0    240804      9,00      0,00  stress-ng
00:08:31        0    240805      0,00  39093,00  stress-ng
00:08:31        0    240806      0,00  34803,00  stress-ng
00:08:31        0    240807      0,00  40084,00  stress-ng
00:08:31        0    240808      0,00  43410,00  stress-ng
00:08:31        0    240809      0,00  38557,00  stress-ng
00:08:31        0    240810      0,00  24684,00  stress-ng
00:08:31        0    240811      0,00  33486,00  stress-ng
00:08:31        0    240812      0,00  33742,00  stress-ng
00:08:31        0    240813      0,00  45124,00  stress-ng
00:08:31        0    240814      0,00  40913,00  stress-ng
00:08:31        0    240815      0,00  32212,00  stress-ng
00:08:31        0    240816      0,00  40542,00  stress-ng
00:08:31        0    240817      0,00  38653,00  stress-ng
00:08:31        0    240818      0,00  12900,00  stress-ng
00:08:31        0    240819      0,00  44071,00  stress-ng
00:08:31        0    240820      0,00  39465,00  stress-ng

00:08:31      UID       PID   cswch/s nvcswch/s  Command
00:08:32        0    240803      7,92      0,00  stress-ng
00:08:32        0    240804      7,92      0,00  stress-ng
00:08:32        0    240805      0,00  21132,67  stress-ng
00:08:32        0    240806      0,00   9931,68  stress-ng
00:08:32        0    240807      0,00   9538,61  stress-ng
00:08:32        0    240808      0,00  14676,24  stress-ng
00:08:32        0    240809      0,00  20091,09  stress-ng
00:08:32        0    240810      0,00  13635,64  stress-ng
00:08:32        0    240811      0,00  19498,02  stress-ng
00:08:32        0    240812      0,00  17305,94  stress-ng
00:08:32        0    240813      0,00  20429,70  stress-ng
00:08:32        0    240814      0,00   8889,11  stress-ng
00:08:32        0    240815      0,00  17424,75  stress-ng
00:08:32        0    240816      0,00  18730,69  stress-ng
00:08:32        0    240817      0,00   8918,81  stress-ng
00:08:32        0    240818      0,00   3454,46  stress-ng
00:08:32        0    240819      0,00  14392,08  stress-ng
00:08:32        0    240820      0,00  15531,68  stress-ng

00:08:32      UID       PID   cswch/s nvcswch/s  Command
00:08:33        0    240803      8,91      0,00  stress-ng
00:08:33        0    240804      7,92      0,00  stress-ng
00:08:33        0    240805      0,00  21248,51  stress-ng
00:08:33        0    240806      0,00  14998,02  stress-ng
00:08:33        0    240807      0,00  25702,97  stress-ng
00:08:33        0    240808      0,00  27012,87  stress-ng
00:08:33        0    240809      0,00  24928,71  stress-ng
00:08:33        0    240810      0,00  27023,76  stress-ng
00:08:33        0    240811      0,00  31570,30  stress-ng
00:08:33        0    240812      0,00   4388,12  stress-ng
00:08:33        0    240813      0,00   4460,40  stress-ng
00:08:33        0    240814      0,00  30874,26  stress-ng
00:08:33        0    240815      0,00  26565,35  stress-ng
00:08:33        0    240816      0,00   2941,58  stress-ng
00:08:33        0    240817      0,00   1685,15  stress-ng
00:08:33        0    240818      0,00  21378,22  stress-ng
00:08:33        0    240819      0,00  15398,02  stress-ng
00:08:33        0    240820      0,00  22037,62  stress-ng

00:08:33      UID       PID   cswch/s nvcswch/s  Command
00:08:34        0    240803      9,80      0,00  stress-ng
00:08:34        0    240804      9,80      0,00  stress-ng
00:08:34        0    240805      0,00  30761,76  stress-ng
00:08:34        0    240806      0,00  28258,82  stress-ng
00:08:34        0    240807      0,00  37005,88  stress-ng
00:08:34        0    240808      0,00  23200,00  stress-ng
00:08:34        0    240809      0,00   2637,25  stress-ng
00:08:34        0    240810      0,00  23114,71  stress-ng
00:08:34        0    240811      0,00  17161,76  stress-ng
00:08:34        0    240812      0,00  28833,33  stress-ng
00:08:34        0    240813      0,00  22679,41  stress-ng
00:08:34        0    240814      0,00  24344,12  stress-ng
00:08:34        0    240815      0,00  26821,57  stress-ng
00:08:34        0    240816      0,00   8379,41  stress-ng
00:08:34        0    240817      0,00  20605,88  stress-ng
00:08:34        0    240818      0,00  28676,47  stress-ng
00:08:34        0    240819      0,00  23874,51  stress-ng
00:08:34        0    240820      0,00  27834,31  stress-ng

00:08:34      UID       PID   cswch/s nvcswch/s  Command
00:08:35        0    240803      7,00      0,00  stress-ng
00:08:35        0    240804      7,00      0,00  stress-ng
00:08:35        0    240805      0,00   8425,00  stress-ng
00:08:35        0    240806      0,00  14041,00  stress-ng
00:08:35        0    240807      0,00  14650,00  stress-ng
00:08:35        0    240808      0,00  18721,00  stress-ng
00:08:35        0    240809      0,00   6106,00  stress-ng
00:08:35        0    240810      0,00   1000,00  stress-ng
00:08:35        0    240811      0,00   3648,00  stress-ng
00:08:35        0    240812      0,00  16758,00  stress-ng
